000548.SZ,湖南投资,1993-12-20
000550.SZ,江铃汽车,1993-12-01
000551.SZ,创元科技,1994-01-06
000552.SZ,靖远煤电,1994-01-06
000553.SZ,沙隆达A,1993-12-03
000554.SZ,泰山石油,1993-12-15
000555.SZ,神州信息,1994-04-08
000557.SZ,银广夏,1994-06-17
000558.SZ,莱茵体育,1994-05-09
000559.SZ,万向钱潮,1994-01-10
000560.SZ,昆百大A,1994-02-02
000561.SZ,烽火电子,1994-05-09
000563.SZ,陕国投A,1994-01-10
000564.SZ,西安民生,1994-01-10
000565.SZ,渝三峡A,1994-04-08
000566.SZ,海南海药,1994-05-25
000567.SZ,海德股份,1994-05-25
000568.SZ,泸州老窖,1994-05-09
000570.SZ,苏常柴A,1994-07-01
000571.SZ,新大洲A,1994-05-25
000572.SZ,海马汽车,1994-08-08
000573.SZ,粤宏远A,1994-08-15
000576.SZ,广东甘化,1994-09-07
000581.SZ,威孚高科,1998-09-24
000582.SZ,北部湾港,1995-11-02
000584.SZ,友利控股,1995-11-28
000585.SZ,东北电气,1995-12-13
000586.SZ,汇源通信,1995-12-20
000587.SZ,金洲慈航,1996-04-25
000589.SZ,黔轮胎A,1996-03-08
000590.SZ,启迪古汉,1996-01-19
000591.SZ,太阳能,1996-02-08
000592.SZ,平潭发展,1996-03-27
000593.SZ,大通燃气,1996-03-12
000595.SZ,宝塔实业,1996-04-19
000596.SZ,古井贡酒,1996-09-27
000597.SZ,东北制药,1996-05-23
000598.SZ,兴蓉环境,1996-05-29
000599.SZ,青岛双星,1996-04-30
000600.SZ,建投能源,1996-06-06
000601.SZ,韶能股份,1996-08-30
000603.SZ,盛达矿业,1996-08-23
000605.SZ,渤海股份,1996-09-13
000606.SZ,*ST明胶,1996-10-04
000607.SZ,华媒控股,1996-08-30
000608.SZ,阳光股份,1996-09-19
000609.SZ,绵世股份,1996-10-10
000610.SZ,西安旅游,1996-09-26
000611.SZ,*ST蒙发,1996-10-08
000612.SZ,焦作万方,1996-09-26
000613.SZ,大东海A,1997-01-28
000615.SZ,湖北金环,1996-10-16
000616.SZ,海航投资,1996-11-08
000617.SZ,*ST济柴,1996-10-22
000619.SZ,海螺型材,1996-10-23
000620.SZ,新华联,1996-10-29
000622.SZ,*ST恒立,1996-11-07
000623.SZ,吉林敖东,1996-10-28
000625.SZ,长安汽车,1997-06-10
000626.SZ,如意集团,1996-11-28
000627.SZ,天茂集团,1996-11-12
000628.SZ,高新发展,1996-11-18
000629.SZ,*ST钒钛,1996-11-15
000630.SZ,铜陵有色,1996-11-20
000631.SZ,顺发恒业,1996-11-22
000632.SZ,三木集团,1996-11-21
000633.SZ,*ST合金,1996-11-12
000635.SZ,英力特,1996-11-20
000636.SZ,风华高科,1996-11-29
000637.SZ,茂化实华,1996-11-14
000638.SZ,万方发展,1996-11-26
000639.SZ,西王食品,1996-11-26
000650.SZ,仁和药业,1996-12-10
000651.SZ,格力电器,1996-11-18
000652.SZ,泰达股份,1996-11-28
000655.SZ,金岭矿业,1996-11-28
000656.SZ,金科股份,1996-11-28
000657.SZ,中钨高新,1996-12-05
000659.SZ,珠海中富,1996-12-03
000661.SZ,长春高新,1996-12-18
000662.SZ,天夏智慧,1996-12-16
000663.SZ,永安林业,1996-12-06
000665.SZ,湖北广电,1996-12-10
000666.SZ,经纬纺机,1996-12-10
000667.SZ,美好集团,1996-12-05
000668.SZ,荣丰控股,1996-12-10
000669.SZ,金鸿能源,1996-12-10
000670.SZ,*ST盈方,1996-12-17
000671.SZ,阳光城,1996-12-18
